,PIN CODE,DISTRICT,TEHSIL,STATUS,SD CODE,SD NAME,SD_latitude,SD_longitude
0,815311,Giridih,Akdonikala,Vacant,100031,MANGALAM DISTRIBUTORS,24.1526,86.27823
1,816104,Pakur,Talpahari,Vacant,100031,MANGALAM DISTRIBUTORS,24.70032,87.78201
2,814147,Sahebganj,Boarijore,Vacant,100031,MANGALAM DISTRIBUTORS,25.07179,87.36913
3,816108,Sahebganj,Narayanpur East Diara,Vacant,100031,MANGALAM DISTRIBUTORS,25.01938,87.83636
